WORD,AVERAGE_MISSES
crypt,13
cryptanalyst,9
cryptic,12
cryptogram,9
cryptography,9
cryptologist,8
cryptology,10
crystal,11
crystalline,8
crystallize,13
crystallized,12
crystallizes,13
crystals,11
cub,14
cuba,13
cuban,12
cubanize,15
cubanizes,14
cubans,11
cubbyhole,10
cube,13
cubed,12
cubes,12
cubic,13
cubs,13
cuckoo,17
cuckoos,16
cucumber,11
cucumbers,10
cuddle,7
cuddled,7
cuddly,13
cudgel,7
cudgels,6
cue,9
cued,8
cues,8
cuff,16
cufflink,14
cuffs,15
cuisine,6
culbertson,7
culinary,10
cull,9
culled,7
culler,7
culling,7
culls,8
culminate,6
culminated,5
culminates,5
culminating,6
culmination,6
culpa,9
culpable,10
culprit,7
culprits,6
cult,8
cultivable,11
cultivate,12
cultivated,11
cultivates,11
cultivating,11
cultivation,11
cultivations,10
cultivator,11
cultivators,10
cults,7
cultural,6
culturally,11
culture,6
cultured,5
cultures,5
culturing,5
culver,14
culvers,13
cumberland,7
cumbersome,9
cummings,8
cummins,9
cumulative,11
cumulatively,10
cunard,6
cunning,8
cunningham,8
cunningly,11
cup,11
cupboard,9
cupboards,8
cupertino,5
cupful,14
cupid,9
cupped,9
cupping,8
cups,10
curable,10
curably,11
curb,13
curbing,10
curbs,12
curd,8
curdle,6
cure,8
cured,7
cures,7
curfew,16
curfews,15
curing,7
curiosities,4
curiosity,10
curious,6
curiouser,5
curiousest,4
curiously,10
curl,8
curled,6
curler,7
curlers,6
curlicue,6
curling,6
curls,7
curly,13
curran,7
currant,6
currants,5
currencies,5
currency,12
current,6
currently,10
currentness,5
currents,5
curricular,6
curriculum,9
curriculums,8
curried,6
curries,6
curry,14
currying,11
curs,8
curse,7
cursed,6
curses,7
cursing,6
cursive,13
cursor,7
cursorily,10
cursors,7
cursory,12
curt,8
curtail,5
curtailed,3
curtails,4
curtain,5
curtained,3
curtains,4
curtate,6
curtis,6
curtly,12
curtness,5
curtsies,5
curtsy,12
curvaceous,12
curvature,13
curve,15
curved,14
curves,14
curvilinear,11
curving,13
cushing,9
cushion,9
cushioned,7
cushioning,8
cushions,9
cushman,9
cusp,10
cusps,10
custard,5
custer,6
custodial,3
custodian,3
custodians,3
custody,11
custom,9
customarily,7
customary,9
customer,7
customers,7
customizable,11
customize,14
customized,13
customizer,13
customizers,13
customizes,14
customizing,13
customs,9
cut,9
cutaneous,4
cutback,15
cute,8
cutest,7
cutlass,6
cutlet,7
cutoff,14
cutout,8
cutover,13
cuts,8
cutter,7
cutters,6
cutthroat,9
cutting,7
cuttingly,10
cuttings,6
cuttlefish,10
cuvier,14
cuzco,19
cyanamid,11
cyanide,11
cybernetic,10
cybernetics,9
cyberspace,10
cyclades,11
cycle,14
cycled,13
cycles,13
cyclic,14
cyclically,13
cycling,12
cycloid,12
cycloidal,11
cycloids,11
cyclone,12
cyclones,11
cyclops,12
cyclotron,11
cyclotrons,10
cygnus,12
cylinder,10
cylinders,9
cylindrical,10
cymbal,12
cymbals,11
cynic,14
cynical,12
cynically,12
cynthia,11
cypress,12
cyprian,11
cypriot,11
cyprus,12
cyril,13
cyrillic,13
cyrus,13
cyst,14
cysts,14
cytology,12
cytoplasm,9
czar,19
czech,19
czechization,14
czerniak,15
dabble,12
dabbled,12
dabbler,11
dabbles,11
dabbling,10
dacca,8
dacron,5
dactyl,12
dactylic,11
dad,9
dada,9
dadaism,10
dadaist,6
dadaistic,5
daddy,15
dade,8
dads,8
daedalus,6
daemon,9
daemons,8
daffodil,13
daffodils,12
dagger,8
dahl,12
dahlia,11
dahomey,11
dailey,12
dailies,5
daily,13
daimler,8
daintily,11
daintiness,4
dainty,12
dairy,13
dairylea,11
daisies,6
daisy,13
dakar,17
dakota,16
dale,7
dales,6
daley,13
dalhousie,7
dali,7
dallas,7
dalton,5
daly,14
dalzell,18
dam,12
damage,10
damaged,10
damager,9
damagers,8
damages,9
damaging,9
damascus,9
damask,16
dame,11
damming,9
damnation,8
damned,10
damning,9
damns,10
damocles,7
damon,10
damp,11
dampen,9
dampens,8
damper,9
damping,8
dampness,8
dams,11
damsel,9
damsels,9
dan,8
dana,8
danbury,11
dance,6
danced,6
dancer,5
dancers,4
dances,5
dancing,7
dandelion,4
dandelions,3
dandy,14
dane,7
danes,6
danger,7
dangerous,4
dangerously,7
dangers,6
dangle,7
dangled,7
dangles,6
dangling,7
daniel,5
daniels,4
danielson,3
danish,10
danization,16
danizations,15
danize,17
danizes,16
danny,14
dante,6
danube,11
danubian,11
danville,13
danzig,17
daphne,10
dar,8
dare,7
dared,7
darer,7
darers,6
dares,6
daresay,12
daring,7
daringly,10
darius,6
dark,17
darken,15
darker,16
darkest,14
darkly,15
darkness,14
darkroom,15
darlene,5
darling,6
darlings,5
darlington,4
darn,7
darned,6
darner,6
darning,7
darns,6
darpa,10
darrell,6
darrow,17
darry,14
dart,7
darted,6
darter,6
darting,6
dartmouth,8
darts,6
darwin,16
darwinian,16
darwinism,14
darwinistic,13
darwinize,15
darwinizes,14
dash,12
dashboard,10
dashed,11
dasher,10
dashers,10
dashes,11
dashing,9
dashingly,9
data,8
database,11
databases,11
datagram,9
datagrams,8
datamation,8
datamedia,9
date,7
dated,7
dateline,4
dater,6
dates,6
dating,7
dative,14
datsun,6
datum,10
daugherty,9
daughter,8
daughterly,8
daughters,7
daunt,7
daunted,6
dauntless,4
dave,16
david,16
davidson,13
davie,15
davies,14
davinich,13
davis,15
davison,13
davy,16
dawn,18
dawned,17
dawning,16
dawns,17
dawson,16
day,15
daybreak,14
daydream,12
daydreaming,9
daydreams,11
daylight,10
daylights,9
days,14
daytime,11
dayton,12
daytona,12
daze,19
dazed,19
dazzle,18
dazzled,18
dazzler,17
dazzles,17
dazzling,16
dazzlingly,15
de,9
deacon,5
deacons,4
deactivate,13
dead,8
deaden,7
deadline,5
deadlines,4
deadlock,14
deadlocked,14
deadlocking,11
deadlocks,13
deadly,13
deadness,6
deadwood,17
deaf,15
deafen,14
deafer,14
deafest,13
deafness,13
deal,7
dealer,6
dealers,5
dealership,7
dealing,6
dealings,5
deallocate,4
deallocated,4
deallocating,3
deallocation,2
deals,6
dealt,6
dean,7
deane,7
deanna,7
deans,6
dear,7
dearborn,10
dearer,7
dearest,5
dearly,12
dearness,5
dearth,10
dearths,9
death,11
deathbed,11
deathly,11
deaths,10
debacle,11
debar,12
debase,12
debatable,11
debate,12
debated,12
debater,11
debaters,10
debates,11
debating,9
debauch,10
debauchery,9
debbie,13
debby,14
debilitate,10
debilitated,10
debilitates,9
debilitating,8
debility,11
debit,12
debited,12
deborah,10
debra,12
debrief,13
debris,11
debt,13
debtor,11
debts,12
debug,12
debugged,12
debugger,11
debuggers,10
debugging,10
debugs,11
debunk,15
debussy,12
debutante,10
dec,8
decade,7
decadence,6
decadent,5
decadently,10
decades,6
decal,6
decathlon,7
decatur,5
decay,13
decayed,13
decaying,10
decays,12
decca,7
decease,6
deceased,6
deceases,6
deceasing,5
decedent,6
deceit,6
deceitful,11
deceitfully,10
deceive,15
deceived,15
deceiver,14
deceivers,13
deceives,14
deceiving,13
decelerate,4
decelerated,4
decelerates,3
decelerating,3
deceleration,1
december,11
decembers,10
decencies,5
decency,13
decennial,4
decent,6
decently,11
deception,6
deceptions,5
deceptive,13
deceptively,11
decertify,11
decibel,11
decidability,9
decidable,10
decide,7
decided,7
decidedly,12
decides,6
deciding,7
deciduous,5
decimal,8
decimals,7
decimate,8
decimated,8
decimates,7
decimating,6
decimation,6
decipher,9
deciphered,9
decipherer,9
deciphering,7
deciphers,8
decision,4
decisions,4
decisive,14
decisively,12
decisiveness,13
deck,17
decked,17
decker,16
decking,14
deckings,13
decks,16
declaration,1
declarations,0
declarative,11
declaratives,10
declarator,3
declaratory,9
declare,5
declared,5
declarer,5
declarers,4
declares,4
declaring,4
declassify,10
declination,2
declinations,1
decline,5
declined,5
decliner,4
decliners,3
declines,4
declining,6
decnet,6
decode,7
decoded,7
decoder,6
decoders,5
decodes,6
decoding,6
decodings,5
decolletage,5
decollimate,6
decompile,7
decomposable,7
decompose,8
decomposed,8
decomposes,8
decomposing,5
decompress,7
decorate,4
decorated,4
decorates,3
decorating,3
decoration,2
decorations,1
decorative,11
decorum,8
decouple,7
decoupled,7
decouples,6
decoupling,4
decoy,13
decoys,12
decrease,5
decreased,5
decreases,5
decreasing,4
decreasingly,7
decree,7
decreed,7
decreeing,6
decrees,6
decrement,8
decremented,8
decrementing,6
decrements,7
decrypt,11
decrypted,11
decrypting,8
decryption,8
decrypts,10
decstation,2
decsystem,11
dectape,8
dedicate,5
dedicated,5
dedicates,4
dedicating,5
dedication,3
deduce,8
deduced,8
deducer,7
deduces,7
deducible,10
deducing,6
deduct,7
deducted,7
deductible,9
deducting,5
deduction,4
deductions,3
deductive,13
dee,9
deed,9
deeded,9
deeding,8
deeds,8
deem,12
deemed,12
deeming,9
deemphasize,14
deemphasized,14
deemphasizes,14
deems,11
deep,11
deepen,10
deepened,10
deepening,8
deepens,9
deeper,10
deepest,9
deeply,13
deeps,10
deer,8
deere,8
deface,14
default,12
defaulted,12
defaulter,11
defaulting,9
defaults,11
defeat,14
defeated,14
defeating,11
defeats,13
defecate,13
defect,14
defected,14
defecting,11
defection,11
defections,10
defective,13
defects,13
defend,15
defendant,13
defendants,12
defended,15
defender,14
defenders,13
defending,13
defends,14
defenestrate,11
defense,14
defenseless,13
defenses,14
defensible,11
defensive,13
defer,15
deference,13
deferment,12
deferments,11
deferrable,12
deferred,15
deferrer,15
deferrers,14
deferring,12
defers,14
defiance,12
defiant,12
defiantly,10
deficiencies,12
deficiency,12
deficient,12
deficit,13
deficits,12
defied,15
defies,14
defile,14
defiling,12
definable,11
define,14
defined,14
definer,13
defines,13
defining,13
definite,13
definitely,11
definiteness,12
definition,12
definitional,10
definitions,11
definitive,13
deflate,13
deflater,12
deflect,13
defocus,12
defoe,15
deforest,12
deform,13
deformation,9
deformations,8
deformed,13
deformities,10
deformity,10
defraud,13
defray,13
defrost,12
deftly,13
defunct,12
defy,15
defying,12
degeneracy,10
degenerate,6
degenerated,6
degenerates,5
degenerating,5
degeneration,4
degenerative,11
degradable,10
degradation,4
degradations,3
degrade,8
degraded,8
degrades,7
degrading,6
degree,9
degrees,8
dehumidify,11
dehydrate,11
deify,14
deign,8
deigned,8
deigning,8
deigns,7
deimos,9
deirdre,7
deirdres,6
deities,6
deity,13
dejected,20
dejectedly,18
dekalb,15
dekastere,14
del,8
delaney,12
delano,5
delaware,16
delay,13
delayed,13
delaying,10
delays,12
delegate,7
delegated,7
delegates,6
delegating,5
delegation,4
delegations,3
delete,7
deleted,7
deleter,6
deleterious,3
deletes,6
deleting,6
deletion,4
deletions,3
delft,14
delhi,11
delia,6
deliberate,9
deliberated,9
deliberately,9
deliberates,8
deliberating,7
deliberation,7
deliberative,11
deliberator,8
deliberators,7
delicacies,4
delicacy,11
delicate,4
delicately,10
delicatessen,2
delicious,4
deliciously,9
delight,9
delighted,9
delightedly,10
delightful,10
delightfully,9
delighting,8
delights,8
delilah,10
delimit,9
delimitation,6
delimited,9
delimiter,8
delimiters,7
delimiting,7
delimits,8
delineament,7
delineate,4
delineated,4
delineates,3
delineating,5
delineation,3
delinquency,17
delinquent,18
delirious,4
deliriously,9
delirium,8
deliver,14
deliverable,12
deliverables,11
deliverance,11
delivered,14
deliverer,14
deliverers,13
deliveries,13
delivering,12
delivers,13
delivery,13
dell,8
della,7
dells,7
dellwood,17
delmarva,13
delphi,10
delphic,9
delphically,9
delphinus,7
delta,6
deltas,5
delude,8
deluded,8
deludes,7
deluding,6
deluge,8
deluged,8
deluges,7
delusion,4
delusions,4
deluxe,19
delve,16
delves,15
delving,13
demagnify,10
demagogue,8
demand,10
demanded,10
demander,9
demanding,8
demandingly,9
demands,9
demarcate,8
demeanor,8
demented,10
demerit,9
demeter,10
demigod,9
demise,10
demo,11
democracies,6
democracy,10
democrat,7
democratic,6
democrats,6
demodulate,7
demodulator,6
demographic,5
demolish,8
demolished,8
demolishes,8
demolition,7
demon,10
demoniac,7
demonic,8
demons,9
demonstrable,6
demonstrate,6
demonstrated,6
demonstrates,6
demonstrator,6
demoralize,14
demoralized,14
demoralizes,13
demoralizing,12
demorgan,7
demote,10
demountable,7
dempsey,12
demultiplex,15
demur,10
den,8
denature,5
deneb,13
denebola,10
deneen,8
deniable,10
denial,5
denials,4
denied,7
denier,6
denies,6
denigrate,5
denigrated,5
denigrates,4
denigrating,5
denizen,18
denmark,14
dennis,6
denny,14
denominate,7
denomination,7
denominator,6
denominators,5
denotable,9
denotation,4
denotational,3
denotations,3
denotative,12
denote,6
denoted,6
denotes,5
denoting,6
denounce,6
denounced,6
denounces,5
denouncing,5
dens,7
dense,7
densely,12
denseness,7
denser,6
densest,6
densities,5
density,11
dent,7
dental,5
dentally,11
dented,7
denting,7
dentist,5
dentistry,10
dentists,5
denton,6
dents,6
denture,6
denude,8
denumerable,8
denunciate,4
denunciation,3
denver,15
deny,14
denying,12
deodorant,4
depart,8
departed,8
departing,5
department,7
departmental,6
departments,6
departs,7
departure,7
departures,6
depend,10
dependable,10
dependably,10
depended,10
dependence,9
dependencies,7
dependency,12
dependent,9
dependently,11
dependents,8
depending,8
depends,9
depict,8
depicted,8
depicting,6
depicts,7
deplete,9
depleted,9
depletes,8
depleting,6
depletion,6
depletions,5
deplorable,9
deplore,8
deplored,8
deplores,7
deploring,5
deploy,12
deployed,12
deploying,9
deployment,9
deployments,8
deploys,11
deport,8
deportation,5
deportee,8
deportment,7
depose,9
deposed,9
deposes,9
deposit,7
depositary,8
deposited,7
depositing,5
deposition,6
depositions,6
depositor,6
depositors,6
depository,9
deposits,7
depot,9
depots,8
deprave,14
depraved,14
depravity,11
deprecate,7
depreciate,6
depreciated,6
depreciates,5
depreciation,4
depress,9
depressed,9
depresses,9
depressing,6
depression,6
depressions,6
deprivation,10
deprivations,9
deprive,14
deprived,14
deprives,13
depriving,12
depth,11
depths,10
deputies,7
deputy,12
dequeue,22
dequeued,22
dequeues,21
dequeuing,19
derail,5
derailed,5
derailing,5
derails,4
derby,13
derbyshire,10
dereference,13
deregulate,5
deregulated,5
derek,17
deride,7
derision,4
derivable,12
derivation,11
derivations,10
derivative,13
derivatives,12
derive,15
derived,15
derives,14
deriving,13
derogatory,10
derrick,15
derriere,7
dervish,13
des,8
descartes,4
descend,6
descendant,4
descendants,4
descended,6
descendent,5
descender,5
descenders,5
descending,6
descends,6
descent,5
descents,5
describable,8
describe,10
described,10
describer,10
describes,10
describing,8
description,4
descriptions,4
descriptive,11
descriptives,11
descriptor,5
descriptors,5
descry,12
desecrate,4
desegregate,6
desert,6
deserted,6
deserter,6
deserters,6
deserting,5
desertion,3
desertions,3
deserts,6
deserve,15
deserved,15
deserves,15
deserving,12
deservingly,10
deservings,12
desiderata,4
desideratum,6
design,7
designate,5
designated,5
designates,5
designating,5
designation,4
designations,4
designator,3
designators,3
designed,7
designer,6
designers,6
designing,7
designs,7
desirability,8
desirable,9
desirably,9
desire,6
desired,6
desires,6
desiring,6
desirous,5
desist,6
desk,17
desks,17
desktop,14
desmond,9
desolate,4
desolately,10
desolation,2
desolations,2
despair,7
despaired,7
despairing,5
despairingly,7
despairs,7
despatch,8
despatched,8
desperado,7
desperate,7
desperately,9
desperation,4
despicable,8
despise,9
despised,9
despises,9
despising,7
despite,8
despoil,7
despondent,7
despot,8
despotic,6
despotism,7
despots,8
dessert,6
desserts,6
dessicate,4
destabilize,14
destination,3
destinations,3
destine,5
destined,5
destinies,5
destiny,11
destitute,6
destitution,4
destroy,11
destroyed,11
destroyer,11
destroyers,11
destroying,8
destroys,11
destruct,5
destruction,2
destructions,2
destructive,11
destructor,4
destuff,13
destuffing,10
destuffs,13
desuetude,7
desultory,9
detach,10
detached,10
detacher,9
detaches,9
detaching,7
detachment,8
detachments,7
detail,5
detailed,5
detailing,5
details,4
detain,5
detained,5
detaining,6
detains,4
detect,7
detectable,10
detectably,10
detected,7
detecting,6
detection,4
detections,3
detective,14
detectives,13
detector,5
detectors,4
detects,6
detente,7
detention,5
deter,7
detergent,7
deteriorate,4
deteriorated,4
deteriorates,3
determinable,7
determinacy,8
determinant,7
determinants,6
determinate,7
determine,8
determined,8
determiner,8
determiners,7
determines,7
determining,7
determinism,7
deterred,7
deterrent,6
deterring,6
detest,7
detestable,10
detested,7
detour,6
detract,5
detractor,4
detractors,3
detracts,4
detriment,8
detrimental,6
detroit,5
deuce,8
deus,8
deuterium,8
deutsch,9
devastate,14
devastated,14
devastates,14
devastating,11
devastation,11
develop,14
developed,14
developer,13
developers,12
developing,11
development,11
developments,10
develops,13
deviant,13
deviants,12
deviate,14
deviated,14
deviates,13
deviating,12
deviation,12
deviations,11
device,15
devices,14
devil,15
devilish,13
devilishly,12
devils,14
devious,13
devise,15
devised,15
devises,15
devising,13
devisings,13
devoid,15
devolve,15
devon,15
devonshire,11
devote,15
devoted,15
devotedly,13
devotee,15
devotees,14
devotes,14
devoting,12
devotion,13
devotions,12
devour,14
devoured,14
devourer,14
devours,13
devout,14
devoutly,12
devoutness,12
dew,19
dewdrop,16
dewdrops,15
dewey,18
dewitt,17
dewy,18
dexedrine,18
dexterity,17
dhabi,12
diabetes,10
diabetic,10
diabolic,10
diachronic,8
diacritical,4
diadem,10
diagnosable,7
diagnose,5
diagnosed,5
diagnoses,5
diagnosing,6
diagnosis,6
diagnostic,4
diagnostics,4
diagonal,6
diagonally,10
diagonals,5
diagram,9
diagrammable,8
diagrammatic,7
diagrammed,8
diagrammer,8
diagrammers,7
diagramming,8
diagrams,8
dial,7
dialect,4
dialectic,4
dialects,3
dialed,6
dialer,5
dialers,4
dialing,7
dialog,7
dialogs,6
dialogue,5
dialogues,4
dials,6
dialup,8
dialysis,12
diamagnetic,6
diameter,8
diameters,7
diametric,7
diamond,9
diamonds,8
diana,7
diane,6
dianne,6
diaper,8
diapers,7
diaphragm,8
diaphragms,7
diaries,5
diarrhea,10
diary,13
diatribe,10
diatribes,9
dibble,12
dice,7
dichotomize,14
dichotomy,10
dickens,14
dickerson,12
dickinson,14
dickson,14
dicky,16
dictate,5
dictated,5
dictates,4
dictating,6
dictation,4
dictations,3
dictator,4
dictatorial,3
dictators,3
dictatorship,6
diction,5
dictionaries,1
dictionary,9
dictum,9
dictums,8
did,9
didactic,6
diddle,7
dido,8
die,8
diebold,11
died,8
diego,8
diehard,10
dielectric,4
dielectrics,3
diem,11
dies,7
diesel,6
diet,7
dietary,11
dieter,6
dieters,5
dietetic,6
dietician,4
dietitian,5
dietitians,4
dietrich,9
diets,6
dietz,18
differ,14
differed,14
difference,12
differences,11
different,12
differential,10
differently,10
differer,14
differers,13
differing,12
differs,13
difficult,12
difficulties,10
difficultly,11
difficulty,11
diffract,12
diffuse,13
diffused,13
diffusely,11
diffuser,12
diffusers,12
diffuses,13
diffusible,11
diffusing,12
diffusion,12
diffusions,12
diffusive,13
dig,10
digest,7
digested,7
digestible,9
digesting,6
digestion,5
digestive,13
digests,7
digger,8
diggers,7
digging,9
diggings,8
digit,9
digital,7
digitalis,6
digitally,11
digitization,15
digitize,17
digitized,17
digitizes,16
digitizing,17
digits,8
dignified,13
dignify,13
dignitary,10
dignities,6
dignity,12
digram,9
digress,7
digressed,7
digresses,7
digressing,6
digression,5
digressions,5
digressive,13
digs,9
dihedral,9
dijkstra,17
dijon,20
dike,17
dikes,16
dilapidate,7
dilatation,4
dilate,5
dilated,5
dilates,4
dilating,6
dilation,4
dildo,7
dilemma,9
dilemmas,8
diligence,6
diligent,6
diligently,10
dill,8
dillon,6
dilogarithm,6
dilute,6
diluted,6
dilutes,5
diluting,6
dilution,5
dim,12
dimaggio,9
dime,11
dimension,8
dimensional,6
dimensioned,8
dimensioning,7
dimensions,8
dimes,10
diminish,10
diminished,9
diminishes,9
diminishing,9
diminution,8
diminutive,12
dimly,13
dimmed,11
dimmer,10
dimmers,9
dimmest,9
dimming,10
dimness,9
dimple,9
dims,11
din,8
dinah,11
dine,7
dined,7
diner,6
diners,5
dines,6
ding,9
dinghy,12
dinginess,7
dingo,8
dingy,13
dining,9
dinner,6
dinners,5
dinnertime,8
dinnerware,15
dinosaur,4
dint,7
diocletian,2
diode,7
diodes,6
diogenes,6
dion,7
dionysian,11
dionysus,11
diophantine,7
diopter,7
diorama,9
dioxide,19
dip,11
diphtheria,8
diphthong,8
diploma,8
diplomacy,9
diplomas,7
diplomat,7
diplomatic,6
diplomats,6
dipole,8
dipped,10
dipper,9
dippers,8
dipping,9
dippings,8
dips,10
dirac,6
dire,7
direct,5
directed,5
directing,5
direction,3
directional,1
directions,2
directive,13
directives,12
directly,10
directness,3
director,4
directorate,3
directories,3
directors,3
directory,10
directrices,4
directrix,17
directs,4
dirge,8
dirges,7
dirichlet,8
dirt,7
dirtier,6
dirtiest,5
dirtily,12
dirtiness,4
dirts,6
dirty,13
dis,8
disabilities,9
disability,10
disable,10
disabled,10
disabler,9
disablers,9
disables,10
disabling,9
disadvantage,11
disaffected,11
disaffection,9
disagree,6
disagreeable,8
disagreed,6
disagreeing,5
disagreement,5
disagrees,6
disallow,15
disallowed,14
disallowing,13
disallows,15
disambiguate,7
disappear,7
disappeared,7
disappearing,5
disappears,7
disappoint,6
disappointed,5
disapproval,11
disapprove,11
disapproved,11
disapproves,11
disarm,9
disarmament,6
disarmed,8
disarming,7
disarms,9
disassemble,9
disassembled,9
disassembles,9
disassembly,9
disaster,4
disasters,4
disastrous,4
disastrously,8
disband,11
disbanded,10
disbanding,10
disbands,11
disburse,10
disbursed,10
disbursement,7
disburses,10
disbursing,9
disc,7
discard,5
discarded,4
discarding,5
discards,5
discern,4
discerned,4
discernible,8
discernibly,8
discerning,5
discerningly,8
discernment,6
discerns,4
discharge,7
discharged,7
discharges,7
discharging,7
disciple,7
disciples,7
disciplinary,8
discipline,6
disciplined,6
disciplines,6
disciplining,6
disclaim,8
disclaimed,7
disclaimer,6
disclaims,8
disclose,4
disclosed,4
discloses,4
disclosing,5
disclosure,3
disclosures,3
discomfort,10
disconcert,2
disconnect,3
disconnected,3
disconnects,3
discontent,3
discontented,3
discontinue,3
discontinued,3
discontinues,3
discord,5
discordant,2
discount,4
discounted,3
discounting,4
discounts,4
discourage,3
discouraged,3
discourages,3
discouraging,3
discourse,4
discourses,4
discover,12
discovered,12
discoverer,12
discoverers,12
discoveries,12
discovering,10
discovers,12
discovery,11
discredit,4
discredited,4
discreet,4
discreetly,9
discrepancy,8
discrete,4
discretely,9
discreteness,3
discretion,2
discriminant,6
discriminate,5
discs,7
discuss,7
discussant,4
discussed,6
discusses,6
discussing,6
discussion,5
discussions,5
disdain,6
disdaining,7
disdains,6
disease,6
diseased,6
diseases,6
disembowel,13
disengage,6
disengaged,6
disengages,6
disengaging,6
disentangle,4
disfigure,11
disfigured,11
disfigures,11
disfiguring,11
disgorge,6
disgrace,5
disgraced,5
disgraceful,8
disgraces,5
disgruntle,3
disgruntled,3
disguise,7
disguised,7
disguises,7
disgust,7
disgusted,6
disgustedly,9
disgustful,11
disgusting,6
disgustingly,9
disgusts,7
dish,12
dishearten,7
dished,11
dishes,11
dishevel,13
dishing,10
dishonest,8
dishonestly,8
dishonesty,9
dishonor,9
dishonorable,6
dishonored,8
dishonoring,8
dishonors,9
dishwasher,14
dishwashers,14
dishwashing,14
dishwater,13
disillusion,5
disinclined,4
disingenuous,5
disjoint,18
disjointed,17
disjointly,16
disjointness,17
disjunct,17
disjunction,16
disjunctions,16
disjunctive,15
disjuncts,17
disk,17
diskette,15
diskettes,15
disks,17
dislike,15
disliked,15
dislikes,15
disliking,14
dislocate,2
dislocated,2
dislocates,2
dislocating,3
dislocation,2
dislocations,2
dislodge,6
dislodged,6
dismal,9
dismally,11
dismay,12
dismayed,11
dismaying,10
dismember,10
dismembered,10
dismembers,10
dismiss,11
dismissal,9
dismissals,9
dismissed,10
dismisser,9
dismissers,9
dismisses,10
dismissing,9
dismount,7
dismounted,6
dismounting,6
dismounts,7
disney,12
disneyland,10
disobedience,9
disobedient,9
disobey,11
disobeyed,11
disobeying,9
disobeys,11
disorder,5
disordered,5
disorderly,10
disorders,5
disorganized,13
disown,16
disowned,15
disowning,15
disowns,16
disparage,6
disparate,6
disparities,6
disparity,10
dispatch,8
dispatched,7
dispatcher,6
dispatchers,6
dispatches,7
dispatching,6
dispel,8
dispell,8
dispelled,8
dispelling,6
dispels,8
dispensary,9
dispensation,5
dispense,8
dispensed,8
dispenser,7
dispensers,7
dispenses,8
dispensing,7
dispersal,6
disperse,8
dispersed,8
disperses,8
dispersing,6
dispersion,6
dispersions,6
displace,6
displaced,6
displacement,4
displaces,6
displacing,5
display,11
displayable,9
displayed,10
displayer,9
displaying,9
displays,11
displease,7
displeased,7
displeases,7
displeasing,5
displeasure,5
disposable,8
disposal,7
disposals,7
dispose,8
disposed,8
disposer,7
disposes,8
disposing,7
disposition,7
dispositions,7
dispossessed,8
disprove,12
disproved,12
disproves,12
disproving,11
dispute,7
disputed,7
disputer,6
disputers,6
disputes,7
disputing,6
disqualified,17
disqualifies,17
disqualify,17
disquiet,19
disquieting,17
disraeli,4
disregard,6
disregarded,6
disregarding,5
disregards,6
disrupt,7
disrupted,6
disrupting,5
disruption,5
disruptions,5
disruptive,11
disrupts,7
dissatisfied,12
dissect,5
dissects,5
dissemble,10
disseminate,7
disseminated,7
disseminates,7
dissension,5
dissensions,5
dissent,5
dissented,5
dissenter,4
dissenters,4
dissenting,6
dissents,5
dissertation,2
disservice,13
dissident,5
dissidents,5
dissimilar,8
dissipate,7
dissipated,7
dissipates,7
dissipating,6
dissipation,6
dissociate,3
dissociated,3
dissociates,3
dissociating,4
dissociation,3
dissolution,4
dissolutions,4
dissolve,13
dissolved,13
dissolves,13
dissolving,12
dissonant,4
dissuade,6
distaff,13
distal,5
distally,11
distance,3
distances,3
distant,5
distantly,10
distaste,5
distasteful,10
distastes,5
distemper,7
distempered,7
distempers,7
distill,6
distillation,3
distilled,5
distiller,4
distillers,4
distillery,10
distilling,6
distills,6
distinct,5
distinction,4
distinctions,4
distinctive,12
distinctly,10
distinctness,4
distinguish,8
distort,5
distorted,4
distorting,5
distortion,4
distortions,4
distorts,5
distract,4
distracted,3
distracting,4
distraction,2
distractions,2
distracts,4
distraught,7
distress,5
distressed,5
distresses,5
distressing,5
distribute,9
distributed,9
distributes,9
distributing,8
distribution,8
distributive,11
distributor,9
distributors,9
district,5
districts,5
distrust,6
distrusted,5
disturb,10
disturbance,6
disturbances,6
disturbed,9
disturber,9
disturbing,8
disturbingly,7
disturbs,10
disuse,7
ditch,11
ditches,9
dither,10
ditto,7
ditty,14
ditzel,17
diurnal,5
divan,15
divans,14
dive,16
dived,16
diver,15
diverge,14
diverged,14
divergence,12
divergences,11
divergent,12
diverges,13
diverging,13
divers,14
diverse,14
diversely,12
diversified,13
diversifies,13
diversify,12
diversifying,10
diversion,12
diversionary,10
diversions,12
diversities,13
diversity,12
divert,14
diverted,14
diverting,12
diverts,13
dives,15
divest,14
divested,14
divesting,12
divestiture,12
divests,14
divide,16
divided,16
dividend,15
dividends,14
divider,15
dividers,14
divides,15
dividing,15
divine,15
divinely,13
diviner,14
diving,15
divining,15
divinities,13
divinity,14
divisibility,12
divisible,13
division,14
divisional,12
divisions,14
divisive,15
divisor,14
divisors,14
divorce,13
divorced,13
divorcee,13
divulge,13
divulged,13
divulges,12
divulging,13
dixie,20
dixiecrats,15
dixieland,17
dixon,19
dizziness,17
dizzy,19
djakarta,19
dmitri,10
dnieper,8
do,9
dobbin,12
dobbs,13
doberman,9
doc,8
docile,5
dock,17
docked,16
docket,15
docks,16
dockside,14
dockyard,14
doctor,6
doctoral,4
doctorate,4
doctorates,3
doctored,5
doctors,5
doctrinaire,2
